iterations,batch_size,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S),power_batch,avg_power(W),power_elapsed_time(ms),total_energy(kJ),energy_per_batch(kJ),est_energy_for_10k_batches(kJ)
60060,1,100x1,5074.83,100,5,5.917439599,,,,,,
60060,1,150x1,5035.4,150,5,8.945664694,,,,,,
60060,1,200x1,5084.2,200,5,11.81306794,,,,,,
60060,1,500x1,5056.04,500,5,29.69715429,,,,,,
60060,1,1000x1,5058,1000,5,59.371293,,,,,,
60060,1,2000x1,5008.91,2000,5,119.9063269,,,,,,
60060,1,5000x1,5022.74,5000,5,298.940419,,,,,,
60060,1,10000x1,5911.51,10000,5,507.9920359,,,,,,
60060,1,20000x1,10007.66,20000,5,600.1402925,,,,,,
60060,1,30000x1,14089.3,30000,5,639.4214049,,,,,,
60060,10,100x1,498.06,100,5,60.29394049,,,,,,
60060,10,150x1,503.95,150,5,89.38386745,,,,,,
60060,10,200x1,502.15,200,5,119.6056955,,,,,,
60060,10,500x1,502.23,500,5,298.9666089,,,,,,
60060,10,1000x1,596.13,1000,5,503.7491822,,,,,,
60060,10,2000x1,1007.07,2000,5,596.3835682,,,,,,
60060,10,5000x1,2214.67,5000,5,677.979112,,,,,,
60060,20,100x1,249.31,100,5,120.4524488,,,,,,
60060,20,150x1,251.91,150,5,178.8138621,,,,,,
60060,20,200x1,251.19,200,5,239.1018751,,,,,,
60060,20,500x1,301.42,500,5,498.1421273,,,,,,
60060,20,1000x1,503.58,1000,5,596.3302752,,,,,,
60060,20,2000x1,914.56,2000,5,656.7092372,,,,,,
60060,50,100x1,100.28,100,5,299.4615078,,,,,,
60060,50,150x1,104.7,150,5,430.2292264,,,,,,
60060,50,200x1,122.92,200,5,488.6104784,,,,,,
60060,50,500x1,246.92,500,5,608.0916896,,,,,,
60060,50,1000x1,448.83,1000,5,669.0729229,,,,,,
60060,100,100x1,66.3,100,5,452.9411765,,,,,,
60060,100,150x1,85.66,150,5,525.8580434,,,,,,
60060,100,200x1,105.92,200,5,567.0317221,,,,,,
60060,100,500x1,228.89,500,5,655.9919612,,,,,,
60060,200,100x1,57.495,100,5,522.3062875,,,,,,
60060,200,150x1,76.93,150,5,585.5323021,,,,,,
60060,200,200x1,96.39,200,5,623.0936819,,,,,,
Max,,,,,,677.979112,,,,,,